date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
19/11/2011;Macedonia;Bosnia and Herzegovina;2;6;UEFA Euro qualification;Prilep;Macedonia;FALSE
19/11/2011;Greece;Russia;0;4;UEFA Euro qualification;Athens;Greece;FALSE
19/11/2011;Poland;Italy;0;5;UEFA Euro qualification;Pruszków;Poland;FALSE
19/11/2011;Germany;Kazakhstan;17;0;UEFA Euro qualification;Wiesbaden;Germany;FALSE
19/11/2011;Belgium;Bulgaria;5;0;UEFA Euro qualification;Dessel;Belgium;FALSE
19/11/2011;Northern Ireland;Norway;3;1;UEFA Euro qualification;Lurgan;Northern Ireland;FALSE
19/11/2011;Slovakia;Belarus;3;0;UEFA Euro qualification;Senec;Slovakia;FALSE
19/11/2011;Serbia;Croatia;4;2;UEFA Euro qualification;Jakovo;Serbia;FALSE
19/11/2011;Slovenia;Netherlands;0;2;UEFA Euro qualification;Ivančna Gorica;Slovenia;FALSE
19/11/2011;Portugal;Austria;0;1;UEFA Euro qualification;Pombal;Portugal;FALSE
20/11/2011;Romania;Spain;0;4;UEFA Euro qualification;Buftea;Romania;FALSE
